parameter,TotalTSS,pctTraffickedVsNontrafficked,Buyers,demand,Traffickers,pctSSCrimRecord
st_recruitment,0.011835458574478016,0.028399914854644614,0.009972606673606743,-0.0036560348747204934,0.01579182090424485,-0.010440828427268914
crim_record_obstacle,0.05279543365059969,0.04191910622877593,0.03470731737540409,0.019570175800414,-0.008920338946306372,0.09564183313682802
org_crime_prevalence,0.023028834710124537,0.015143928019255912,0.01680177160092911,0.016636101663874543,0.03761971769336354,-0.0005811520531062221
trafficker_exposure,0.014413259889925386,0.027801587274417724,-0.003920378477641855,-0.0029267925192460126,-0.00691632021997849,0.017019525838453113
trafficking_educ,-0.06809855484529448,0.005876211078102866,-0.06453030000744671,-0.06652784277883031,-0.07318809542615837,-0.026432454825734655
trafficked_pct_youth,0.005210440364283807,0.00033267684748138326,-0.001249846787069729,-0.00035943247461219234,0.0013250232579509373,0.015164399752740875
childhood_violence,0.02325622632893297,-0.009476812167430935,0.011554926148518795,0.020218606440289718,0.019101372057658845,0.0055207198261032755
geographic_csw_normalization,0.023555900844103972,0.024792157003904258,0.001911958353566241,0.0052150024419900225,0.0032493560724257005,-0.014294732563376034
prosecution_culture,0.0009677602405976496,0.0015831779925592057,0.0021142861813933547,-0.0001654555771955862,-0.0028889175012816013,0.0188673756159125
prosecution_culture_v,-0.006170402905718714,-0.0014691147168585021,-0.010518057019491638,-0.003418535067829885,-0.0008082100026817981,0.0025229811413688004
prosecution_culture_s,0.02138417827979273,0.03239864676940447,-0.015013231532855399,0.0040846514727658455,0.0138551591667575,0.019997143365851948
prosecution_culture_youth_v,0.01217823545107487,0.0036531414262680464,0.027586591363166487,0.012970564485276146,0.012718672465157522,0.003226736679348146
prosecution_culture_youth_s,0.0018280705187255402,-0.008839911962276969,-5.761881373250335e-05,0.0005815802306982673,6.678966149862464e-05,-0.005042714286267858
buyer_prosecution_culture,0.013054552827661884,0.013576915452864269,0.014311830196309364,0.009344083745946526,-0.001888067684088674,0.02368382036005314
prosecution_mult,-0.0025036005029256342,0.01117978288621528,0.0005649228829737473,0.009516127084019143,0.007392861064623572,-0.008342205148127738
em_services_capacity,0.011373293960844695,-0.012010848425569919,0.021656736919024783,0.015482645966443704,0.004245119898026571,0.011115033952523619
st_services_capacity,0.005765262725845299,-0.013377237092544339,-0.005732932021459635,0.007663828058779045,0.019209955448993652,-0.00524772547964959
lt_services_capacity,-0.008462769774833548,-0.008026497717892824,0.0077426023949366705,-0.014403708669666828,-0.005670909656689935,-0.003912505237700389
em_services_recovery_rate,-0.026611795404537165,-0.014904635538093217,-0.0009366561488156187,-0.0009319884536487344,0.007681545309182741,-0.03543647715622531
st_services_recovery_rate,-0.017759718021693214,-0.013912922028949884,-0.001647008401607878,-0.008113151043551103,-0.016488758925393854,0.00500323031391786
lt_services_recovery_rate,0.0247125522255281,0.008303832971573446,0.01054240797495246,0.025552612443359463,0.021061475441936702,0.0025605824616793203
em_services_capacity_youth,0.009375103983134694,-0.01750599700554631,0.01324474097819769,0.01101131961062874,0.021501915811312798,-0.002822652183006407
st_services_capacity_youth,-0.01259169000823203,0.007805068134138229,-0.007080623516156428,-0.006921850579510949,-0.009969379595682523,-0.010306843700373823
lt_services_capacity_youth,-0.008411311593735545,-0.0222852032036594,0.0022370816406910507,0.01262791321012325,0.02714480979941257,-0.03382602752202922
em_services_recovery_rate_youth,0.010707119721253325,0.008890945468757433,-0.010002555233557902,-0.0022201294851618997,0.0067708422888961345,0.009849928946613861
