parameter,TotalTSS,pctTraffickedVsNontrafficked,Buyers,demand,Traffickers,pctSSCrimRecord
st_recruitment,0.4027537092054269,0.04463477580983686,0.48080339229367824,0.7960542837961678,0.2642335053290667,0.4604454297166192
crim_record_obstacle,0.0001878104805410512,0.0030298768692575847,0.014115770328343066,0.16647885397287276,0.528290292293193,1.229117564705308e-11
org_crime_prevalence,0.10348390893461536,0.28433534798386456,0.2348919385545834,0.23954001739263853,0.007804967890046728,0.9672294205576611
trafficker_exposure,0.3082174544564619,0.04932662874836763,0.7816692499106619,0.8360846904051208,0.6248832824633973,0.2288801885415873
trafficking_educ,1.4378404346592309e-06,0.6778413727104129,4.956979654998506e-06,2.4982907716419353e-06,2.208952033587235e-07,0.06163450189673181
trafficked_pct_youth,0.7126166342644775,0.9812371407534338,0.9295941673601433,0.9797284451762798,0.9253713749350173,0.28368476296618694
childhood_violence,0.10011946519892692,0.5028837290921204,0.41399721171534637,0.15287205783747218,0.17686961004163043,0.6963300935345038
geographic_csw_normalization,0.09581935568666732,0.07961894626966397,0.8924836388342036,0.7123761978662828,0.8183191986716303,0.31221311757823794
prosecution_culture,0.9454561657730166,0.9108871006197045,0.8811864120475104,0.9906677153840803,0.8381763736585139,0.1822333278379121
prosecution_culture_v,0.6626855085626671,0.9172834819695462,0.457134507151289,0.8090380467466991,0.9544378170745951,0.8584423139605427
prosecution_culture_s,0.1305632358799693,0.021965792715161823,0.28851262396609056,0.7727669844666155,0.32732817031002964,0.15742081488760049
prosecution_culture_youth_v,0.38926673675643897,0.7962121330773536,0.051110594053143776,0.35916010907334833,0.3685687968285368,0.8195620595895116
prosecution_culture_youth_s,0.897174159842218,0.532015628877005,0.996750028323622,0.9672052896460558,0.9962327530216313,0.7214759912794914
buyer_prosecution_culture,0.35605681603770756,0.33713720805655284,0.3116346442433546,0.5088844459964941,0.8938190908882767,0.09402940218283774
prosecution_mult,0.8595183622981947,0.42931926535967396,0.9681440738734,0.5011134864912379,0.601231302333201,0.5553611140762819
em_services_capacity,0.4213748824290993,0.3958181313901145,0.12573004419010536,0.27370056386480085,0.764099654000249,0.43199676733280923
st_services_capacity,0.6835915256701895,0.3442917693684102,0.6852706149305168,0.5879652889968703,0.17442095859437887,0.7106524258304543
lt_services_capacity,0.5496602693352434,0.570424565421125,0.5841341899307498,0.3085381763677657,0.6884960834782002,0.7820966450295985
em_services_recovery_rate,0.05989023530836212,0.2920148384465369,0.9472066179544236,0.9474693251107168,0.5871026191874568,0.012214091248320921
st_services_recovery_rate,0.20926584354052422,0.325315286184008,0.9073101428000985,0.566270722012259,0.24372805548269622,0.7235670457817969
lt_services_recovery_rate,0.08059030000313411,0.5571815632464119,0.4560933186415963,0.07081128851515346,0.13647051489722395,0.8563553715861529
em_services_capacity_youth,0.507478654874317,0.21584725697968227,0.34909223000808354,0.436305659424157,0.12845804470022057,0.8418386801756941
st_services_capacity_youth,0.3733694520474141,0.5811045233104224,0.6166830854061613,0.624606504243738,0.4809453837624758,0.4662212689677672
lt_services_capacity_youth,0.5520899161631845,0.11511721145563134,0.8743415909921914,0.3719960809285106,0.05494617149132446,0.016759227284046448
em_services_recovery_rate_youth,0.4490857539824167,0.5296502412936731,0.4794867448460604,0.875285984863781,0.6321829247563412,0.4862172421500907
st_services_recovery_rate_youth,0.18619923637927122,0.6257851751911107,0.0796273685587832,0.1922692474224474,0.8890873629101304,0.7166355130742228
lt_services_recovery_rate_youth,0.48137526839539924,0.3886584832262119,0.7584753923879429,0.8411645705571463,0.44279971898876325,0.48023399090465096
base_adult_recovery_rate,0.33100920463558936,0.059157280134583316,0.6696793244562544,0.5575664957174545,0.9537522567358705,0.8623790909555566
post_service_vulnerability,0.8754246353874611,0.7638530036650526,0.44439508926960253,0.5857500374303121,0.5244991062899028,0.7449576928633667
vulnerable_recidivism,0.5132952136150531,0.3858461466130164,0.938306264371993,0.725486405546593,0.40003941709027613,0.1093843509800066
base_youth_recovery_rate,0.5311001560559532,0.5311783871616025,0.2985065130576262,0.7853695238451268,0.3479535728706376,0.8153524905596313
post_service_vulnerability_youth,0.7216546208303374,0.29466687264875,0.3040833428495546,0.44298887540846604,0.9675739163571166,0.527344638578346
vulnerable_recidivism_youth,0.364849273295065,0.9061072880104492,0.19489046023098197,0.7170054057692824,0.6740639277531305,0.0013837074220267663
csw_acceptance,0.04031553969704405,0.2194628913952273,0.028589586508064882,0.024145962936583477,0.006118530214571864,0.6256746131103958
csw_exhaustion,0.9835228570826531,0.6176562290346537,0.14885225643644465,0.5855116376960587,0.8588357271969408,0.6331065190085418
sb_benefit,3.7271861546966613e-06,0.3770540765251214,1.1740088843591637e-05,4.892164576260833e-08,7.24922075756719e-07,0.24552466621445218
ss_trns_pm,0.5036409457178964,0.14220068358542973,0.0903147017218553,0.11045888763929514,0.22220104866729554,0.028796090037348076
ss_desired_profit,0.6309255989195114,0.0006025609155078223,0.016209223114380288,0.3833558159244055,0.512058919398532,0.24838906166171615
trafficked_to_nontrafficked_pct,0.6125869878423871,0.3983709825355442,0.6048750982097477,0.13573197393841066,0.6592237601618023,0.9439348377740773
risk_cross_effect,0.7467693979732511,0.1982631331950328,0.5905089625058241,0.6814423862262533,0.9112294073349201,0.9506909341132536
sb_trns_risk_weight,0.15226943957872177,0.21803994491962178,0.15581445566577212,0.5317786323259971,0.11897817058585805,0.9781611909988097
buyer_base_trns,0.0003067977087798098,0.11711002717185934,0.7868710961977172,1.9865707037218812e-05,2.3845198463787567e-06,0.4968362437287528
