parameter,TotalTSS,pctTraffickedVsNontrafficked,Buyers,demand,Traffickers,pctSSCrimRecord
st_recruitment,0.012885346883413874,0.02951275327651013,0.012518037140721484,-0.0024852901474116053,0.014932150869286032,-0.00959286604771464
crim_record_obstacle,0.04931896901275876,0.04048280379531215,0.032046512961860514,0.016913289124531564,-0.010684429483377179,0.09431993887679756
org_crime_prevalence,0.0222551451142058,0.015049908889996353,0.016644882329795288,0.016235528521421138,0.036161022054440876,0.0004927839557113581
trafficker_exposure,0.014144210293768411,0.030523590884943632,-0.005507727964309118,-0.0038492645379705807,-0.007896614331864572,0.016050846786033867
trafficking_educ,-0.06469338671573545,0.008380024463200977,-0.06274693959787757,-0.06470440626817624,-0.07107985743519428,-0.023719804404792176
trafficked_pct_youth,0.008314287116571483,0.0013839683113587324,-1.8040224721608987e-05,0.0014451034178041367,0.003334840837393633,0.018464696706587867
childhood_violence,0.021398792823951712,-0.008705136636205464,0.009901078668043146,0.017685206915408272,0.015722711860908473,0.006245936793837471
geographic_csw_normalization,0.023121419004856755,0.02364501608180064,0.0010029958481198337,0.005840353481614139,0.006114963316598532,-0.017810651272426047
prosecution_culture,0.0021653417186136685,0.0012603666744146669,0.002947180821887232,0.0010373932254957288,0.0010437756897510274,0.0168870550114822
prosecution_culture_v,-0.008507364244294569,0.0018342678493707136,-0.01322718926508757,-0.006799765999990639,-0.004616803960672157,0.0029195733327829327
prosecution_culture_s,0.021226747377069893,0.03069440714777628,-0.01621309140052365,0.003743830997753239,0.013966395726655827,0.01874748382189935
prosecution_culture_youth_v,0.01107447125897885,0.003863132122525284,0.02893948406957936,0.01277650601506024,0.012163751142550043,0.0032045984001839354
prosecution_culture_youth_s,0.001996761679870467,-0.010043241713729669,-0.001269079826763193,0.001303525780141031,0.0022460547778421908,-0.0049547449981897996
buyer_prosecution_culture,0.009795277831811113,0.01167767806710712,0.012849293985971757,0.007504526796181071,-0.0022295723451828935,0.021053407658136302
prosecution_mult,0.00111356375654255,0.012451435026057398,0.004576535703061428,0.011255134722205386,0.010127663733106548,-0.006180687607227503
em_services_capacity,0.009051565610062625,-0.012831867681274705,0.019096494619859784,0.013031762441270496,0.0033923051916922072,0.0092276876011075
st_services_capacity,0.008502851188114047,-0.011075135675005425,-0.004692459355698373,0.009074557802982311,0.01947012913080516,-0.0024447223697888947
lt_services_capacity,-0.010271405114856202,-0.006651268394050735,0.007531650445266018,-0.016678052251122087,-0.007525320301012811,-0.004732356381294254
em_services_recovery_rate,-0.025494133595765342,-0.01567411435496457,0.0014460459458418378,0.0010876331955053276,0.008643127833725112,-0.03525037235401489
st_services_recovery_rate,-0.018466002018640074,-0.015798408439936334,-0.0020731364989254597,-0.007806848472273937,-0.01597449107097964,0.0033960033038401317
lt_services_recovery_rate,0.02175275933411037,0.006945670741826829,0.010885671219426846,0.02338459610338384,0.018113413492536534,0.000659085626363425
em_services_capacity_youth,0.00806533174661327,-0.01868038961121558,0.010538267461530696,0.008204263432170537,0.02091097293243891,-0.0034881227955249113
st_services_capacity_youth,-0.010898461011938438,0.008172743750909749,-0.00508408925936357,-0.005793801927752076,-0.009971328110853123,-0.007652585202103407
lt_services_capacity_youth,-0.0068434074097362945,-0.020140148965605956,0.004343223053728922,0.014204912824196511,0.025920257068810282,-0.03146555156262206
em_services_recovery_rate_youth,0.011961159166446363,0.009777901447116056,-0.009271313938852556,-0.0018261607450464296,0.006802061168082446,0.010803808848152354
st_services_recovery_rate_youth,-0.01783493936939757,-0.007060989498439579,-0.02395021814200872,-0.019519557708782307,0.0004845943873837754,-0.0011394533255781327
lt_services_recovery_rate_youth,-0.012739844957593798,-0.013248797137951884,0.0026200791448031655,0.0016668384666735385,0.00958551129542045,-0.012339650029586
base_adult_recovery_rate,-0.016041525761661027,-0.026796225999849037,0.004905725284229011,-0.009838372713534908,-0.0021937295917491837,-0.002412065568482622
post_service_vulnerability,-0.0011887333915493355,0.0046943824277752965,0.01228900599556024,-0.006632326153293044,-0.007204736256189449,0.004975835335033413
vulnerable_recidivism,0.009206405168256205,0.010114430708577227,0.001353972630158905,0.005540546621621864,-0.010905797140231883,0.021903287244131486
base_youth_recovery_rate,0.0065053798762151945,-0.01002512680100507,0.013175050223002005,0.0019305285892211434,0.011058462682338505,0.0032975720999028836
post_service_vulnerability_youth,-0.005978571599142862,-0.01267951653918066,-0.01435333401413336,-0.011142710461708416,-0.0020063094562523783,0.008387682863507313
vulnerable_recidivism_youth,-0.01403371880134875,0.0009147852845914113,-0.02038662052746482,-0.007707476084299042,0.004856255906250237,-0.04639447577577903
csw_acceptance,0.028062075138483,-0.01514786402991456,0.03139548989581959,0.03094122584564903,0.03624080861763234,0.00645934576237383
csw_exhaustion,0.0008157464006298559,-0.00814312678972507,0.019956288510251538,0.009089012139560485,0.004803864960154598,0.005659325794373031
sb_benefit,0.06553507826940312,-0.00961549478461979,0.061180231823209266,0.07636912865476513,0.06988409338736373,0.015862856218514246
ss_trns_pm,0.007653111186124446,0.02085498803419952,0.021696436515857457,0.02066314681052587,-0.019214225088569,0.03233857223754289
ss_desired_profit,-0.007314655876586234,0.04609402312376092,-0.0346355125854205,-0.011514304972572198,0.009604477152179085,-0.01655367733414709
trafficked_to_nontrafficked_pct,-0.007179036575161462,-0.009724860196994407,-0.008707866300314651,-0.023926545501061817,-0.008900910596036423,0.004914936964597477
risk_cross_effect,0.0012663297146531885,-0.018125387765015506,0.006033806353352253,0.003833804121352164,-0.0008130943045237721,-0.0028030095521203815
sb_trns_risk_weight,0.017320814516832577,0.01851733062869322,0.016295540811821628,0.004973693286947731,0.019102352540094097,-0.001929834413193376
buyer_base_trns,0.04764187553767502,-0.020586448951457958,0.0007156781086271242,0.057693212643728495,0.06349595581983823,0.009024810408992414
