scenario,pctExpungement,seller_prosecution_culture,prosecution_culture_v,prosecution_culture_s,trafficker_exposure,geographic_csw_normalization,crim_record_obstacle,em_services_capacity,st_services_capacity,lt_services_capacity,buyer_prosecution_culture,csw_acceptance,TotalTSS,TotalSS,TotalYouthTSS,pctSSCrimRecord,pctExitedCrimRecord,TotalNonTraffickedSS,pctTraffickedVsNontrafficked,EmServicesAdult,STServicesAdult,LTServicesAdult,Traffickers,Buyers,demand,cost,AdultRecidivism
Default,0.0,0.05,0.2,0.1,0.05,0.1,0.6,2000.0,250.0,100.0,0.01,0.5,9919.765287548746,12391.40472307411,1412.5165989580823,0.39851735808902883,0.39851735808902883,2471.639435525365,0.8005359770936292,895.8449902986591,230.76923076921767,95.9999999999932,2225.4360220572967,20697.53923547371,200890.3158195078,202.6508700073253,563.5937541157028
FullDecrim,0.0,0.0,0.2,0.1,0.05,0.1,0.6,2000.0,250.0,100.0,0.0,0.5,10137.554419140715,12901.809619571017,1635.7643796107989,0.2572676321967806,0.2572676321967806,2764.2552004303016,0.7857467067071625,984.079679635471,230.76923076921767,95.9999999999932,2414.7534311734844,21789.69871271552,217896.98712715518,211.11087664460538,566.9948857571517
PartialDecrim,0.0,0.0,0.2,0.1,0.05,0.1,0.6,2000.0,250.0,100.0,0.01,0.5,9354.979185858962,11813.761712029724,1534.4601511168369,0.24709712083811866,0.24709712083811866,2458.782526170762,0.7918713288700387,920.4292906032524,230.76923076921767,95.9999999999932,2260.4851565936447,20218.714074008043,196121.526517878,207.5138420116549,525.9001165405979
EqualityModel,0.0,0.0,0.2,0.1,0.05,0.1,0.6,2000.0,500.0,200.0,0.01,0.5,9270.59316318344,11730.580082279439,1547.6685172941616,0.23825504156520116,0.23825504156520116,2459.986919096,0.7902928157140218,915.3800370577703,461.53846153843534,191.9999999999864,2261.9473436465964,20150.666228431975,195461.46241579016,208.28196585847024,507.6445934160679
Expungement,0.1,0.05,0.2,0.1,0.05,0.1,0.6,2000.0,250.0,100.0,0.01,0.5,9630.189786028886,12102.382171428628,1439.2533011290543,0.34911934774164294,0.31420741296747867,2472.1923853997414,0.7957267957348011,896.5566804903785,230.76923076921767,95.9999999999932,2230.1601646042773,20465.7848671213,198640.90792027934,205.167157492795,534.4057293492939
