scenario,pctExpungement,seller_prosecution_culture,prosecution_culture_v,prosecution_culture_s,trafficker_exposure,geographic_csw_normalization,crim_record_obstacle,em_services_capacity,st_services_capacity,lt_services_capacity,buyer_prosecution_culture,csw_acceptance,TotalTSS,TotalSS,TotalYouthTSS,pctSSCrimRecord,pctExitedCrimRecord,TotalNonTraffickedSS,pctTraffickedVsNontrafficked,EmServicesAdult,STServicesAdult,LTServicesAdult,Traffickers,Buyers,demand,cost
2,0.856644249819207,0.320463818738945,0.0689912350080684,0.321288199409788,0.551860735924984,0.0991549577392551,0.211099791044979,2046.30959765951,641.179114929614,362.185498259434,0.178589365201542,0.267716838519566,6420.078639708649,6631.422745682213,968.2315990469192,0.2688726159212518,0.03854443555846329,211.34410597356418,0.968129900011099,592.5546609247314,591.8576445503605,347.6980783290294,795.6481088643673,29843.64231775707,29298.10521808545,53.027031251998146
3,0.855912217707939,0.324551334166916,0.493450929300565,0.0641062173545025,0.767395439225794,0.0835993381600006,0.613130626039093,9267.36109825622,497.291267453645,242.699345530534,0.0165467372401063,0.137438349705587,40261.74005990211,42033.79619848495,2427.749736072802,0.5304889904756436,0.07643698216798975,1772.0561385828405,0.9578421104243087,4633.680549127884,459.03809303410765,232.99137170929902,4582.3009146483955,79032.72222882602,355523.2104828125,119.3732391124318
4,0.201175448413518,0.0548227987567889,0.113233833873683,0.113162634227113,0.247050278396109,0.118533472567585,0.683201524887189,9571.90399719018,386.352408823008,494.493865852266,0.179322527473979,0.259683776678156,2005.6963550694702,2185.2428399797745,304.0389522138091,0.34080431434406605,0.272242853584637,179.54648491030434,0.9178368272736379,477.57834594821986,356.63299275967347,474.7141112181481,486.9840292772939,3418.5122545280456,8870.851071260035,41.19318399522231
5,0.0127065236796889,0.335236602488832,0.185389410259625,0.355285966040294,0.633808875348591,0.0860595584156614,0.34410228319093,9211.98742579135,753.936789378884,394.780177040291,0.188442679071136,0.0944507971439513,4.245844454870992,5.656054440126855,0.0,0.9843739464223301,0.9718659755624459,1.4102099852558627,0.7506724872994267,1.008428719841492,10.442582066754772,39.56421305419859,4.1240299156372877E-81,2608.4148184192545,0.0,1.0
6,0.255991304987597,0.132594661806737,0.104840885618389,0.06023192854732,0.407769277320962,0.111526602868232,0.0973668936554529,7080.07330286273,581.277385923201,66.7175551181751,0.0655649998023106,0.955671503344801,21340.05158411829,24475.774495118505,3709.7350107651346,0.10986721336535772,0.08174216204060904,3135.7229110002154,0.8718846297744077,3540.036651431252,536.5637408521332,64.04885291344128,4447.506533666252,59630.43110470133,432665.91280767205,191.04058657975176
7,0.185830287902245,0.0466620535920273,0.111531425665454,0.366470312352543,0.339316622126281,0.0982533800354847,0.961972046317809,5677.02534278699,522.315209470969,205.742054995154,0.0154268655517998,0.825081263599107,40014.32987641965,46808.563387878676,8638.698726310113,0.9551587546421058,0.7776613282746134,6794.233511459024,0.8548506294637014,669.1693386789349,482.13711643471436,197.51237279533422,4332.533130592519,28059.215721555003,339848.1013187703,75.1589091219268
8,0.113133272448334,0.153706876376431,0.0850880266411499,0.41078828964341,0.909295473644897,0.114995203252468,0.323885513897193,5366.98294021475,984.742744213527,196.765651855318,0.165009027143354,0.514009761067999,1693.7534999628494,1765.1462165752528,59.069167725692026,0.5018471758315949,0.44507156256081204,71.39271661240332,0.9595542193944024,144.25019844122977,908.9933023508955,188.89502578109165,178.6853901032395,15106.945720221533,3785.841333832012,27.966483947265196
9,0.828381911854603,0.291900296534216,0.0169120799975692,0.0646716091562136,0.276111537174586,0.103399115292712,0.936340928194931,2764.18533988199,924.934780089423,63.7483254747763,0.127053372610556,0.175045578320179,19357.53727075255,20519.971582811766,1556.0288696171006,0.8683343922894762,0.14902188827561508,1162.4343120592166,0.9433510759326338,685.1756608040733,853.7859508517228,61.19839245578184,2201.657788247747,9759.45690954075,105439.62033347893,61.70040816421552
10,0.182803994564089,0.161494549968501,0.292638369103007,0.043695764944842,0.170161391701826,0.102675107651152,0.341368957401512,7243.37459084357,597.378865429299,405.98272324921,0.00251633115976703,0.734739059079248,107457.84340470725,144659.05888437846,15837.294076137598,0.6627961707388635,0.5416343831460173,37201.21547967121,0.7428352170505617,3621.687295421672,551.4266450116082,389.7434143192143,14854.99268689756,143189.10179247524,2119885.674074225,185.94323864921637
11,0.851052658862304,0.0846347566943479,0.165068378584818,0.185021256777801,0.842954881426359,0.104922816412142,0.0839163199911686,4076.4044748039,992.274209704487,315.004673036733,0.105105573706622,0.458034565315096,56284.890798978435,57818.25200729548,8291.951528194855,0.3061186436115978,0.04559555803862545,1533.3612083170447,0.9734796339376782,2038.2022374018934,915.945424342551,302.4044861152364,6154.874427651763,28632.481193884174,495008.02388271876,94.09140109577096
12,0.0487716808222862,0.0724474911697033,0.125483624869574,0.427783409313212,0.357458918726903,0.108022327538731,0.980737807698016,9673.39315789614,423.389336911149,128.382795564472,0.0616864372107647,0.550072482259904,43795.30183679811,94528.64285686897,3164.715234520402,0.9623625180340868,0.9154264804691966,50733.34102007086,0.4633019211236428,363.3915345352725,390.8209263794959,123.2474837418863,4650.028546332803,41352.14052178533,561093.949751585,74.68745397979826
13,0.814161679398067,0.343250118304147,0.4007468588959,0.0911895020284104,0.853699041703419,0.0853412752736353,0.998646274482108,1235.75531836276,604.553057117469,270.009661340457,0.172192899736702,0.160777179185763,5486.07342623002,53610.99977465376,455.0085612800534,0.9924609589286045,0.1844372778702758,48124.926348423745,0.10233111580253963,58.5974341644837,558.0489758006883,259.20927488681144,581.0349324133854,17290.19499570606,62452.280430048966,17.925202148711627
14,0.0707926058545598,0.100602208302093,0.303058842399781,0.066620631784944,0.650991810607943,0.10994028021235,0.314530701427737,8112.92913578565,679.591234274983,312.4301645938,0.144323011933311,0.845620873023723,9906.52024610382,10857.790737275829,839.5253643941508,0.4899988953062938,0.45531059664170564,951.2704911720084,0.9123882091495643,2736.0445408533074,627.3149854845473,299.93295801002074,1282.1841912583257,16419.82329472869,106644.10739147394,100.6247332277589
15,0.454416940247943,0.459470363794299,0.101359205804887,0.445586317872197,0.572183037681753,0.11071201005304,0.579222688487566,3591.10555012697,484.095813955604,401.147115938312,0.0327761914863835,0.676894091588943,77919.01912517856,83866.7072656565,9872.298533405394,0.7825420171631481,0.42694166810841705,5947.6881404779415,0.9290816542774474,1795.5527750634283,446.85767442053134,385.1012313007523,8449.52023638702,75567.19933850327,1171699.2114327454,140.2781408799253
0,0.690089083042597,0.0811871886367325,0.177154961406211,0.0409629201975768,0.0330605263941881,0.0845937114855578,0.65391222431205,7067.68512893901,492.431026389041,271.253150204079,0.0195422634320469,0.241562105728183,18550.104359970843,20835.03558047494,3028.1150887364697,0.3912305608208605,0.12124662184575191,2284.9312205040987,0.8903322621322822,1642.141619899866,454.55171666678086,260.4030241958886,5130.6787806670545,20371.979800486137,293269.98433728196,225.9860546284299
27,0.511194684447001,0.0788779202078791,0.0900343926120905,0.438471091641836,0.985721416364661,0.0936064615945677,0.184869292034861,7280.11097355314,737.451719478558,307.716242713194,0.197566858123007,0.958670741847354,26455.495938091382,27397.278225465296,11502.427738776736,0.14439994172314813,0.07058345907981808,941.7822873739133,0.965624969034386,3640.0554867764567,680.724664134001,295.40759300463895,3318.468389530839,26666.92543348417,229220.47219650476,83.8564085923107
26,0.310193032329944,0.408290390476703,0.101984647447794,0.438146615998673,0.200639722113232,0.0982889674497627,0.170735690863552,7784.82593630836,266.711837082865,315.304879923628,0.123822547333612,0.123158324131713,3308.6279025366807,3652.436126167623,1145.1310474923864,0.2664644102037185,0.183809006794617,343.8082236309424,0.905868792292423,414.1476158822132,246.1955419226315,132.8777815054935,786.8209206215147,11030.670338488495,21050.34916238432,60.82630583430615
25,0.55517240049653,0.493400139048499,0.119480740917677,0.319584603641742,0.927832165226753,0.113660879499279,0.455732774006294,8328.17667164699,111.651286212591,99.9603635846444,0.162640767154179,0.429736334722474,9008.296783547235,9842.697318487075,2437.4015103941697,0.46194515777129114,0.20548595563365513,834.4005349398394,0.9152264356059568,1689.9406079751957,103.06272573469283,95.96194904125181,1064.2929429604762,26324.88450616552,106886.25203547857,130.02275749018278
